pair,N_trade_dates,tracking_error_std,rms_difference,mean_difference_a_minus_b,mean_abs_difference,median_abs_difference,max_abs_difference,max_abs_date
CRR + hv_63d vs CRR + garch,520,34.02993669137822,34.02352757225271,-1.3382192216834325,26.09067832919506,19.90458933526194,121.54098384009069,2024-09-12
CRR + hv_21d vs CRR + garch,520,29.02554084264281,31.384966339080787,12.006425306076759,26.115656461604324,26.567265666902443,109.54854078005245,2024-09-10
CRR + hv_21d vs CRR + hv_63d,520,27.947469657568746,30.945735688984747,13.34464452776019,22.239714919957162,14.707118580765716,85.51575917575563,2024-11-22
