vol_regime,N,mean_TVNAE,median_TVNAE,model
low_vol,6907,0.8401400639813817,0.8824102577254154,CRR + hv_21d
mid_vol,5277,0.7376285672885041,0.7574980914208556,CRR + hv_21d
high_vol,4777,0.67977718469116,0.4603439652254988,CRR + hv_21d
low_vol,6907,0.7114686402481636,0.7390682478325875,CRR + hv_63d
mid_vol,5277,0.6893590667223002,0.6994557882689583,CRR + hv_63d
high_vol,4777,0.6802685032604686,0.5304251587010609,CRR + hv_63d
low_vol,6907,0.6284912282761463,0.6320756429563853,CRR + garch
mid_vol,5277,0.6499403300947867,0.6418413515589478,CRR + garch
high_vol,4777,0.7160884371955667,0.5798017757319678,CRR + garch
