Title	Price	Shipping_cost	Sales_Count	Sales_Value	Link	Condition	Seller Notes	Brand	Model	Storage Capacity	Network	Camera Resolution	Screen Size	Lock Status	RAM	Contract	Operating System	Model Number	Style	MPN	Connectivity	Features	SIM Card Slot	Memory Card Type	Processor	Color	2G	3G	4G	5G	Bluetooth	GSM	WI-FI	Micro USB	USB	Type-C	Fast_usb	NFC	Dual-Band	ANT+	Android Beam	Beidou	Cellular	FM	DLNA	EDGE	Fast Charge	GPS	Galileo	Global Version	HDMI Micro	Glonass	Headphone Jack	OTA	OTG	Infrared	Lightning	Quad-Band	Tri-Band	Wireless charging	WAP	WCDMA	Last_Sale	Is_Target
Nokia Asha 210 GSM Unlocked QWERTY Keyboard Bluetooth Wifi Dual SIM Cell Phone	29.0	5.65	1.0	29.0	https://www.ebay.com/itm/145095933493?nordt=true&orig_cvip=true&rt=nc	Open box	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. 1 Year warranty”Read Lessabout the seller notes	nokia	Nokia Asha 210	64.0	Operator	2.0	2.4	Factory Unlocked	8.0	Without Contract	Other	A2111 (CDMA + GSM)	Bar	Does Not Apply	2G	Bluetooth Enabled, Camera	Dual SIM (SIM + SIM)	MicroSD	Others	Black	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	2023-05-22	1
Nokia 1208 - Black (T-Mobile) Cellular Phone 1208, QTLRH-106, 661AB-R	14.99	0.0	1.0	14.99	https://www.ebay.com/itm/285159197205?nordt=true&orig_cvip=true&rt=nc	Used	“Pre Owned - Limited Testing - Corporate Fortune 500 Repos - Business Phones”	nokia	Nokia 1208	88.56291056088934	Operator	9.165085388994308	3.7637822239322816	Network Locked	5.2053941908713695	Without Contract	Other	A2111 (CDMA + GSM)	Bar	1208, QTLRH-106, 661AB-RH106, RH-106	3G, Bluetooth, Wi-Fi	Internet Connectivity	Single SIM	MicroSD	Others	Black	0	1	0	0	1	0	1	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	2023-05-22	1
"Nokia 2780 Flip 2.8"" 1.77"" 4G 512MB 5MP 4G LTE WiFi Bluetooth Open Box Unlocked"	74.99	0.0	1.0	74.99	https://www.ebay.com/itm/256082303495?nordt=true&orig_cvip=true&rt=nc	Open box	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. 1 Year warranty”Read Lessabout the seller notes	nokia	Nokia 2780 Flip	512.0	Unlocked	5.0	1.77	Network Unlocked	4.0	Without Contract	Other	A2111 (CDMA + GSM)	Flip	16WNDL11A01	Bluetooth	FM Radio, Hall Effect Sensor	Single SIM	MicroSD	Others	Blue	0	0	0	0	1	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	2023-05-22	1
Nokia C100, 32GB, Black - Prepaid Smartphone-Total By Verizon	25.8	0.0	5.0	129.0	https://www.ebay.com/itm/115768633062?nordt=true&orig_cvip=true&rt=nc	New	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. 1 Year warranty”Read Lessabout the seller notes	nokia	Nokia C100	32.0	Operator	8.0	5.45	Network Locked	3.0	Prepaid	Android	A2111 (CDMA + GSM)	Bar	TFNKN152DCP	Bluetooth, 4G, 3G, 2G, GPS, LTE	Accelerometer	Single SIM	MicroSD	Quad Core	Black	1	1	1	1	1	1	1	1	1	1	0.0	1	1	0.0	0.0	0.0	0.0	1.0	1	1	0.0	1	0.0	0.0	1.0	0.0	1	0.0	0.0	1	1.0	1	1	0.0	1	1	2023-05-22	1
Original NOKIA 6600 Bluetooth Camera Unlocked 2G GSM Triband Smartphone	31.57	8.67	3.0	94.7	https://www.ebay.com/itm/374307095220?nordt=true&orig_cvip=true&rt=nc	New	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. 1 Year warranty”Read Lessabout the seller notes	nokia	Nokia 6600	6.0	Unlocked	2.0	2.2	Factory Unlocked	5.2053941908713695	Without Contract	Other	A2111 (CDMA + GSM)	Bar	78670	Micro USB	Camera	Single SIM	MicroSD	Others	Gray	0	0	0	0	0	0	0	1	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	2023-05-22	1
NOKIA 1320 WINDOWS PHONE BLUE UNLOCKED NEW OTHER CONDITION	30.94	14.14	129.0	3990.88	https://www.ebay.com/itm/254843903484?nordt=true&orig_cvip=true&rt=nc	Open box	“No signs of use on housing or Screen/LCD, looks and works like it should. We FULLY TEST it. There ...Read moreabout the seller notes“No signs of use on housing or Screen/LCD, looks and works like it should. We FULLY TEST it. There will be 1 minute on the phone due to us testing it and making sure it works properly prior to us shipping it out. No OEM box or manual is included unless listed that way. We rate this device a 10 out of 10. All Phones come boxed with battery, door, and wall charger. This phone is UNLOCKED FOR GSM CARRIERS ONLY and cannot be used with Sprint, Verizon, U.S. Cellular, etc.”Read Lessabout the seller notes	nokia	1320	8.0	Unlocked	9.165085388994308	3.7637822239322816	Factory Unlocked	5.2053941908713695	Without Contract	Other	A2111 (CDMA + GSM)	Bar	Does Not Apply	Micro USB	Internet Connectivity	Single SIM	MicroSD	Others	Blue	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	2023-05-22	1
Nokia N900 Unlocked GSM Cell Phone Black BROKEN B0836	41.85	0.0	1.0	41.85	https://www.ebay.com/itm/125904804349?nordt=true&orig_cvip=true&rt=nc	For parts or not working	"“Device is in POOR used cosmetic condition.
Device is BROKEN. Does not power/boot up.”"	nokia	Nokia N900	32.0	Unlocked	5.0	3.5	Network Unlocked	5.2053941908713695	Without Contract	Other	A2111 (CDMA + GSM)	Slider	002L929, N900ULK, N900	Micro USB	Internet Connectivity	Single SIM	MicroSD, MicroSDHC	Others	Black	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	2023-05-22	1
Nokia 6300 Cell Phone Silver (Unlocked) Classic Button Basic 2G Mobile Phone	26.38	0.0	1.0	26.38	https://www.ebay.com/itm/225529913770?nordt=true&orig_cvip=true&rt=nc	Used	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. 1 Year warranty”Read Lessabout the seller notes	nokia	Nokia 6300 4G	7.0	Unlocked	2.0	3.7637822239322816	Factory Unlocked	5.2053941908713695	Without Contract	Other	A2111 (CDMA + GSM)	Bar	Nokia 6300	2G, Tri-Band	Active Edge, EDGE, FM Radio, GPRS, Java Enabled, Push to Talk	Single SIM	MicroSD	Others	Silver	1	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	1	0.0	0	0	2023-05-22	1
"Nokia C3-01 Original mobile phones 2.4"" 3G 5MP Camera 1050mAh WIFI Bluetooth"	53.66	0.0	3.0	160.98	https://www.ebay.com/itm/144185381171?nordt=true&orig_cvip=true&rt=nc	Used	“This phone has been Refurbished to 100% working order, Just like a 100% new one! This is a AAA+ ...Read moreabout the seller notes“This phone has been Refurbished to 100% working order, Just like a 100% new one! This is a AAA+ Stock item, meaning unit is in good cosmetic condition and NO minor scrapes or scratches! 1 year warranty, include OEM new charger, USB Cable & Battery,Box.”Read Lessabout the seller notes	nokia	Does not apply	30.0	Unlocked	5.0	2.4	Factory Unlocked	5.2053941908713695	Without Contract	IOS	A2111 (CDMA + GSM)	Bar	Does Not Apply	2G, 3G, Bluetooth, Micro USB, Wi-Fi	Bluetooth Enabled, FM Radio, TTY Compatible, Wi-Fi Capable, SMessaging, SMS, MMS, Email, IM	Single SIM	MicroSD	Others	Black	1	1	0	0	1	0	1	1	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	2023-05-22	1
C6-01 Original Unlocked Nokia C6-01 3G GPS Bluetooth Touchscreen Cellphone	41.03	18.0	3.0	123.09	https://www.ebay.com/itm/165065773946?nordt=true&orig_cvip=true&rt=nc	Open box	“An product that has been professionally restored to working”	nokia	Nokia C6-01	2.0	Unlocked	8.0	3.2	Factory Unlocked	5.2053941908713695	Without Contract	Other	A2111 (CDMA + GSM)	Bar	Does Not Apply	Micro USB	3G Data Capable, Bluetooth Enabled, Music Player, Wi-Fi Capable	Single SIM	MicroSD	Others	Multi-Color	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0	0	0.0	0	0	2023-05-22	1
