BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES,SHORTNAME,ASSETCODE,SECID_REQUESTED
RFUD,2024-01-03,MMH7,,,,,0.0,,,0,4575.45,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-04,MMH7,,,,,0.0,,,0,4565.05,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-05,MMH7,,,,,0.0,,,0,4212.35,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-08,MMH7,,,,,0.0,,,0,4211.85,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-09,MMH7,,,,,0.0,,,0,4228.95,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-10,MMH7,,,,,0.0,,,0,4223.3,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-11,MMH7,,,,,0.0,,,0,4227.5,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-12,MMH7,,,,,0.0,,,0,4289.4,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-15,MMH7,,,,,0.0,,,0,4293.05,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-16,MMH7,,,,,0.0,,,0,4291.1,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-17,MMH7,,,,,0.0,,,0,4299.5,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-18,MMH7,,,,,0.0,,,0,4296.85,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-19,MMH7,,,,,0.0,,,0,4294.45,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-22,MMH7,,,,,0.0,,,0,4281.6,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-23,MMH7,,,,,0.0,,,0,4287.25,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-24,MMH7,,,,,0.0,,,0,4274.05,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-25,MMH7,,,,,0.0,,,0,4273.35,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-26,MMH7,,,,,0.0,,,0,4056.1,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-29,MMH7,,,,,0.0,,,0,4097.55,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-30,MMH7,,,,,0.0,,,0,4098.25,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-01-31,MMH7,,,,,0.0,,,0,4091.45,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-01,MMH7,,,,,0.0,,,0,4091.05,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-02,MMH7,,,,,0.0,,,0,4162.4,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-05,MMH7,,,,,0.0,,,0,4156.15,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-06,MMH7,,,,,0.0,,,0,4160.9,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-07,MMH7,,,,,0.0,,,0,4153.7,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-08,MMH7,,,,,0.0,,,0,4140.9,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-09,MMH7,,,,,0.0,,,0,4145.6,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-12,MMH7,,,,,0.0,,,0,4151.6,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-13,MMH7,,,,,0.0,,,0,4134.35,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-14,MMH7,,,,,0.0,,,0,4132.7,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-15,MMH7,,,,,0.0,,,0,4145.7,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-16,MMH7,,,,,0.0,,,0,4133.55,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-19,MMH7,,,,,0.0,,,0,4137.9,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-20,MMH7,,,,,0.0,,,0,4126.45,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-21,MMH7,,,,,0.0,,,0,4142.5,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-22,MMH7,,,,,0.0,,,0,4210.95,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-26,MMH7,,,,,0.0,,,0,4290.3,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-27,MMH7,4420.55,3803.7,4420.55,3803.7,0.0,82242.5,2.0,0,3919.05,0.0,4112.13,,1.0,2,MXI-3.27,MXI,MMH7
RFUD,2024-02-28,MMH7,,,,,0.0,,,0,3911.45,0.0,,,,0,MXI-3.27,MXI,MMH7
RFUD,2024-02-29,MMH7,,,,,0.0,,,0,3919.75,0.0,,,,0,MXI-3.27,MXI,MMH7
