region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg
Ленинградская область,2015,1815091.0,71.36,6.5,65.4,849616556.2,59.0,119.56,33.269999999999996,99.6,468.0848267111677,6.586997566513194e-05,1.832965950467497e-05,6.148649533149529,-9.627827824749543,-10.906990072134896,14.411646162165281
Липецкая область,2015,1166590.0,71.11,7.8,63.7,448994309.7,56.9,151.7,9.72,100.8,384.8775574109156,0.0001300371167248,8.331976101286657e-06,5.95292525100574,-8.947690634992156,-11.695409902874193,13.96959552134654
Магаданская область,2015,146453.0,67.93,10.5,95.9,125798292.9,62.0,14.08,18.0,107.5,858.9669921408233,9.61400585853482e-05,0.000122906324896,6.755730495333066,-9.249704486123274,-9.004088078957345,11.89445983685317
Москва,2015,12278053.0,76.45,10.8,100.0,13520862856.8,60.3,36.38,34.71,97.2,1101.2220632049723,2.9630105033754134e-06,2.8269954527806648e-06,7.004175808669787,-12.729304744534238,-12.776296087750518,16.323323917624215
Московская область,2015,7736019.0,72.9,8.5,79.8,3180924558.4,59.8,100.46,113.39,101.1,411.1836538147075,1.2986007402515428e-05,1.4657409709050612e-05,6.019039960954669,-11.251638133839991,-11.13056456817814,15.861397772161888
Мурманская область,2015,739001.0,69.9,8.2,93.0,401582689.6,61.6,140.8,75.53999999999999,106.8,543.4129177091777,0.0001905274823714,0.0001022190768348,6.297869468717754,-8.56571410938583,-9.188392235825164,13.513054553109397
Ненецкий автономный округ (Архангельская область),2015,42389.0,70.29,12.4,71.7,227193534.4,55.0,38.82,17.22,110.2,5359.728571091557,0.0009158036282997,0.0004062374672674,8.586668613060889,-6.995708595858212,-7.808572674599515,10.654644173598973
Нижегородская область,2015,3250563.0,70.11,8.3,79.4,1104643248.6,57.5,66.57,35.11,102.5,339.8313610903711,2.0479529238473455e-05,1.0801205821883778e-05,5.828449497770083,-10.796084744459822,-11.435852779892093,14.994338770072433
Новгородская область,2015,615245.0,68.63,7.7,71.3,234075725.6,55.3,21.06,45.8,102.7,380.4593708197547,3.423026599159684e-05,7.444188900356768e-05,5.9413793932030305,-10.282400334736717,-9.505491750322408,13.329775841442547
Новосибирская область,2015,2761518.0,70.91,8.9,78.6,1021642902.8,59.0,96.47,138.12,101.0,369.9569956813607,3.493368502396146e-05,5.001596947765685e-05,5.913386770995071,-10.262059007316306,-9.903168213976977,14.831291086498767
