comparison,loss_metric,N_trade_dates,mean_loss_diff,std_error_hac,t_stat,p_value
CRR + hv_21d minus CRR + garch,MSE,540,3434.5536227888942,1929.6564850045092,1.7798782578552412,0.07509588663379199
CRR + hv_21d minus CRR + hv_63d,MSE,540,5142.018003722788,1143.226665087261,4.4978114670989635,6.8656537197738795e-06
CRR + hv_63d minus CRR + garch,MSE,540,-1707.464380933894,1905.170007189891,-0.8962267800196944,0.3701316556175259
