r,N,MAE,RMSE,mean_error,median_abs_error,mean_abs_pct_error
0.12,18058,104.57468007473679,137.5281921243976,-81.95677998277473,82.32572766038264,3.9285616896940447
0.16,18058,107.1487681801695,140.63249470610043,-89.72478116426805,84.4516119160307,3.765533105057397
0.2,18058,109.8356723281943,144.0606300490031,-96.30488062571348,86.88904927481602,3.615938410404274
