vol_regime,N,MAE,mean_error,median_abs_error,RMSE,model
low_vol,7684,104.11754018044682,-103.81760328734953,76.32499999999987,143.89267869119837,crr_hv_21d
mid_vol,5519,141.81380651022116,-141.315007045209,123.68196962076217,173.7384900565121,crr_hv_21d
high_vol,4855,117.76349824274999,-29.355213782256044,94.93695383026966,154.63670365900492,crr_hv_21d
low_vol,7684,82.07774656456382,-78.7945642298714,58.65374724562507,118.3152571431562,crr_hv_63d
mid_vol,5519,128.259895651891,-123.53541977204327,109.39749595090254,158.5346344968719,crr_hv_63d
high_vol,4855,122.8302136133071,-68.58922451083707,104.19049036580351,151.11483847573228,crr_hv_63d
low_vol,7684,77.49203550826746,-76.10085147527967,51.32480474986497,112.5264924180176,crr_garch
mid_vol,5519,118.19521340848436,-111.07725055663819,102.64009692429238,145.98190383520634,crr_garch
high_vol,4855,141.00410180957022,-43.931223484860034,114.84959621535813,186.43992286337829,crr_garch
low_vol,7684,109.40786551026848,-107.24485711200184,70.20705889959174,161.95914793917188,black76_hv_63d
mid_vol,5519,186.22742554146544,-184.6853184187546,147.78805663661154,235.25160966309173,black76_hv_63d
high_vol,4855,195.99271569365496,-174.53094255117693,158.87404825007593,249.3569403941962,black76_hv_63d
