comparison,loss_metric,N_trade_dates,mean_loss_diff,std_error_hac,t_stat,p_value
CRR + hv_21d minus CRR + garch,MAE,540,11.74499112107078,4.095910093024734,2.8674924142188334,0.004137387226867667
CRR + hv_21d minus CRR + hv_63d,MAE,540,12.989331332939242,3.601466939345677,3.6066779319926714,0.00031014221398305704
CRR + hv_63d minus CRR + garch,MAE,540,-1.2443402118684634,4.250670403598251,-0.29273975484316833,0.7697210803704938
