model,N_filtered,mean_TVNAE,median_TVNAE
CRR + garch,16961,0.6598360061374183,0.6241831669032827
CRR + hv_63d,16961,0.6958023897979424,0.6804716507239454
CRR + hv_21d,16961,0.763080536688315,0.778190009899263
