date,region,forecast,lower_95,upper_95
2017-02-01,Москва,4662.60200309919,3584.185296739875,6065.494844554731
2017-03-01,Москва,4550.875945868434,3496.0245754358903,5924.006375756583
2017-04-01,Москва,6243.109961414939,4761.698884523694,8185.402507705439
2017-05-01,Москва,4129.020107488003,3140.8231573814405,5428.133388526762
2017-06-01,Москва,9057.263374344146,6864.212011087882,11950.974081180024
2017-07-01,Москва,10107.870211640186,7634.963707374818,13381.732268966147
2017-08-01,Москва,10811.127484783821,8138.626079221638,14361.204993881029
2017-09-01,Москва,9691.816194727684,7271.8564372962355,12917.100600422553
2017-10-01,Москва,7292.255503470283,5453.541810835124,9750.909073850009
2017-11-01,Москва,5728.93801929559,4270.452253202127,7685.539817081526
2017-12-01,Москва,5796.478183504256,4307.333548732578,7800.454492716791
2018-01-01,Москва,3965.6698673777705,2937.5550069285887,5353.614642086707
