date,region,forecast,lower_95,upper_95
2017-02-01,Архангельская область,442.0999797225727,334.7495572478028,583.8764767238004
2017-03-01,Архангельская область,487.89882608990416,367.5790188456771,647.6029705053609
2017-04-01,Архангельская область,502.9464786616045,377.0527086648578,670.8747996899983
2017-05-01,Архангельская область,241.49328095428606,180.16926641042457,323.69008270930834
2017-06-01,Архангельская область,742.6821120702581,551.4526671608332,1000.2249557136877
2017-07-01,Архангельская область,900.190483464524,665.2761416400085,1218.0549636463334
2017-08-01,Архангельская область,942.162404054704,693.085309231183,1280.7514223592516
2017-09-01,Архангельская область,716.3709505069276,524.5924483642177,978.2591044351051
2017-10-01,Архангельская область,539.9523994431642,393.6326876420429,740.6615426449425
2017-11-01,Архангельская область,510.39037862660985,370.43928974141767,703.2146584031435
2017-12-01,Архангельская область,602.7643732385302,435.5792479346453,834.1189149124748
2018-01-01,Архангельская область,335.82020787399586,241.63319188415988,466.72069816715737
