date,region,marriages
2009-09-01,Москва,11181
2009-10-01,Москва,8446
2009-11-01,Москва,5986
2009-12-01,Москва,6089
2010-01-01,Москва,4997
2010-02-01,Москва,4873
2010-03-01,Москва,3642
2010-04-01,Москва,9698
2010-05-01,Москва,3726
2010-06-01,Москва,9148
2010-07-01,Москва,12473
2010-08-01,Москва,10882
2010-09-01,Москва,10736
2010-10-01,Москва,8862
2010-11-01,Москва,6080
2010-12-01,Москва,6023
2011-01-01,Москва,4519
2011-02-01,Москва,5176
2011-03-01,Москва,5292
2011-04-01,Москва,7128
2011-05-01,Москва,4767
2011-06-01,Москва,11127
2011-07-01,Москва,12024
2011-08-01,Москва,11785
2011-09-01,Москва,12657
2011-10-01,Москва,8909
2011-11-01,Москва,8148
2011-12-01,Москва,7959
2012-01-01,Москва,4117
2012-02-01,Москва,5539
2012-03-01,Москва,4438
2012-04-01,Москва,7582
2012-05-01,Москва,4310
2012-06-01,Москва,11269
2012-07-01,Москва,10693
2012-08-01,Москва,12732
2012-09-01,Москва,11479
2012-10-01,Москва,7407
2012-11-01,Москва,6179
2012-12-01,Москва,7098
2013-01-01,Москва,4123
2013-02-01,Москва,5007
2013-03-01,Москва,7165
2013-04-01,Москва,5489
2013-05-01,Москва,4650
2013-06-01,Москва,11998
2013-07-01,Москва,11287
2013-08-01,Москва,13915
2013-09-01,Москва,11398
2013-10-01,Москва,7836
2013-11-01,Москва,7260
2013-12-01,Москва,6462
2014-01-01,Москва,4702
2014-02-01,Москва,6341
2014-03-01,Москва,5889
2014-04-01,Москва,7576
2014-05-01,Москва,5890
2014-06-01,Москва,10276
2014-07-01,Москва,12156
2014-08-01,Москва,13823
2014-09-01,Москва,11030
2014-10-01,Москва,9761
2014-11-01,Москва,6705
2014-12-01,Москва,6334
2015-01-01,Москва,4983
2015-02-01,Москва,5807
2015-03-01,Москва,4890
2015-04-01,Москва,8653
2015-05-01,Москва,5482
2015-06-01,Москва,10150
2015-07-01,Москва,12550
2015-08-01,Москва,12495
2015-09-01,Москва,11515
2015-10-01,Москва,9164
2015-11-01,Москва,6566
2015-12-01,Москва,7465
2016-01-01,Москва,4332
2016-02-01,Москва,4944
2016-03-01,Москва,5289
2016-04-01,Москва,5256
2016-05-01,Москва,4660
2016-06-01,Москва,10636
2016-07-01,Москва,12289
2016-08-01,Москва,11196
2016-09-01,Москва,9807
2016-10-01,Москва,6999
2016-11-01,Москва,4996
2016-12-01,Москва,5443
2017-01-01,Москва,4112
