"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5227952292587","27.9747649345212","27.9446001713259","27.8307798062897","27.8694504893631","28.1753647152426","28.1194501324878","28.0979935022039","28.1356925027961","28.0808808878066","27.9343451391243","27.6883224524139","27.686228472117","27.8124407883343","27.9728340220678","28.2971521723929","28.6043096345486","28.859947033116","29.0800077037936","29.8023909576755","30.1521447448849","30.6136936599094","30.3886859838973","31.0444810877045","31.5469036017198","32.0982958374921","32.6873169327904","33.5381424689252","34.5483996115138","33.0261568695551","32.7940798485352","33.6081619000381","33.6967049509918","34.2977111919012","34.6968130103833",
"Afghanistan","AFG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.0819616309708","21.8193802016592","21.7002845014774","21.3999190220336","21.7868152683815","22.239114091045","22.6949201635027","23.02633415777","23.3501314406195","23.6729906704526","22.8384237602807","24.4531246057782","24.7818489406037","24.833148478038","25.7077189524347","25.9420504795722","27.2248878765164","27.6621985463541","29.3948425879471","31.1592526833235","31.1177963939839","32.3133084481045","32.0763627884824","32.2391686364613","33.7321152250418","35.23983684805","36.802134491624","37.0166785521044","37.5135391226906","35.535277276328","30.151585831638","29.4272142369757","29.4984918421715","29.5021677680015","29.4719178364586",
"Africa Western and Central","AFW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0522453299796","30.2284977989137","30.332858843029","30.5137555271522","30.6606810446974","30.920689881069","31.2823532724503","31.6842812126418","32.0360827431712","32.398915520935","32.7053910569426","32.8994364243993","33.3141490490046","33.8593957873021","34.3740978986254","34.8887133278551","35.5194799295522","36.1756096194748","36.8707889152576","37.7443976580416","38.3985434212623","38.9596545495083","39.4955974910526","40.1059420844488","40.6960983900992","40.9691889210339","41.4778475795376","42.1082822211187","42.9057256242192","41.3285540722728","41.5459857451246","41.8024485293288","42.32235686483","42.845976909497","43.2531195385582",
"Angola","AGO","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3737380910113","62.8373268892273","62.3114262749015","61.6570691199889","61.7442086363688","61.6803076560233","61.7223666478858","61.6836141347103","61.0559861836578","60.8845307226596","60.9408642565735","60.9019606623629","60.705961052874","60.4315375805673","58.4651355521218","56.6875803163974","54.8911137864211","53.1496704920599","51.3263213533981","48.8556342624711","46.5491998883029","44.4213021713595","42.4380131365122","40.3316392087452","40.3215498679159","40.1139584289984","40.0178727618802","39.7773354887959","39.666195800835","38.2191311444807","37.5749267305878","40.4877627343102","40.5263400343568","40.687555299181","40.8514654803696",
"Albania","ALB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.0187144905434","41.6309624235966","41.2788171841721","41.2001150627881","40.6086499947008","38.9954978045861","40.035178199463","39.2752445717642","37.2373791896363","37.3323137307488","37.3149842845206","37.5147371760435","37.636312678353","36.4694828120954","36.3587685307636","37.0819396819245","37.3181538543968","37.54099828889","36.5546191483091","38.0056894662126","35.7883362998639","36.8368428681955","38.715793649559","39.6694222941355","39.8607872719792","40.2112427236091","42.2423402549993","42.7083957984542","43.2158670276158","43.241481433791","44.4269847878612","43.9962497505868","46.3125447479353","46.7791156790644","47.2443938528146",
"Andorra","AND","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.8050505234355","45.0378148184808","46.0674028791492","46.4328938992458","46.5229755576258","46.6774569668105","47.5835239960691","48.3123539173821","48.6454794336618","49.1435140997432","50.0527636133236","51.0902468570911","51.2756071647319","50.8473643975968","51.1210845321556","51.3648037059518","51.5363947745536","52.0317762642692","52.6864244862693","53.0156897412547","53.8959448971217","54.6481941036209","55.170165912626","55.5721120555936","56.2550526994313","56.6270316718039","56.5374267452176","57.487301358851","57.6937138109799","58.1157836170687","58.4202146160784","59.1439779185341","59.7692426941492","59.8753931860817","60.0880075341387",
"United Arab Emirates","ARE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.7620017662419","50.8923549421018","51.0463998071662","51.1488969141303","51.1619680971368","51.2367547192183","50.9924172298797","51.1648781603802","51.4372628809368","51.4808095972865","53.4513910663171","55.4941646368669","56.9358868936572","58.5160822659664","60.2126175697903","61.4827573779734","62.948707228317","64.4634223662442","64.7602353202824","65.1301084267921","65.5006038895123","65.9573189904418","66.1774963395383","66.2715274808927","66.1063601094399","66.32728191108","66.8274728416238","67.1539594518014","67.4208924215394","68.9988862248103","67.4731738749809","67.6880425093453","67.7011452667683","67.9435420294033","67.9677172675509",
"Argentina","ARG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.3080264891955","59.210828210969","61.9148486816922","63.0574697683987","64.4083406567998","64.8763570504032","64.6557120283403","65.499210868457","66.6816628400893","67.6184539683676","68.2952407948288","69.7288704449471","68.4998493229813","68.6984274895615","68.5868647859111","68.599741686598","68.6557123530693","68.7482525435358","69.6003422430472","69.7072619276578","69.0724495417462","69.4875551206921","69.2982197252933","69.0304543657975","69.6529549127388","70.4876907051936","71.0991913444513","71.4909177447964","71.7720330089912","71.3067334216532","71.7661939196741","71.3171525473111","71.2232606251736","71.6393298183816","71.8147392248427",
