open,close,high,low,value,volume,begin,end
2157.18,2172.68,2174.23,2157.18,12690309378.95,0,2023-01-03 00:00:00,2023-01-03 23:59:59
2171.54,2168.42,2179.56,2162.06,11510044721.05,0,2023-01-04 00:00:00,2023-01-04 23:59:59
2170.4,2156.67,2171.94,2154.16,9783315405.0,0,2023-01-05 00:00:00,2023-01-05 23:59:59
2157.32,2156.39,2160.08,2153.32,7622557637.8,0,2023-01-06 00:00:00,2023-01-06 23:59:59
2163.43,2163.5,2169.71,2162.01,18179113212.1,0,2023-01-09 00:00:00,2023-01-09 23:59:59
2162.7,2159.51,2162.92,2145.14,14600174654.45,0,2023-01-10 00:00:00,2023-01-10 23:59:59
2156.28,2186.98,2190.4,2153.55,35257346290.55,0,2023-01-11 00:00:00,2023-01-11 23:59:59
2193.53,2185.93,2194.8,2177.36,21456804414.0,0,2023-01-12 00:00:00,2023-01-12 23:59:59
2188.6,2199.94,2204.18,2179.82,27688238742.05,0,2023-01-13 00:00:00,2023-01-13 23:59:59
2204.64,2224.9,2224.9,2204.46,27333518945.0,0,2023-01-16 00:00:00,2023-01-16 23:59:59
2225.26,2196.84,2226.49,2196.84,31460321183.45,0,2023-01-17 00:00:00,2023-01-17 23:59:59
2188.9,2196.26,2206.66,2177.65,24434857167.75,0,2023-01-18 00:00:00,2023-01-18 23:59:59
2190.02,2168.83,2193.93,2162.11,25621313385.4,0,2023-01-19 00:00:00,2023-01-19 23:59:59
2167.61,2166.69,2173.71,2154.37,18882607247.05,0,2023-01-20 00:00:00,2023-01-20 23:59:59
2167.92,2185.31,2186.85,2164.89,23076679749.25,0,2023-01-23 00:00:00,2023-01-23 23:59:59
2191.64,2172.75,2199.29,2172.75,29120905166.5,0,2023-01-24 00:00:00,2023-01-24 23:59:59
2168.48,2170.15,2176.61,2160.76,22637391195.2,0,2023-01-25 00:00:00,2023-01-25 23:59:59
2181.96,2166.92,2183.77,2166.92,22684239621.05,0,2023-01-26 00:00:00,2023-01-26 23:59:59
2174.85,2189.35,2189.35,2167.33,22277273691.3,0,2023-01-27 00:00:00,2023-01-27 23:59:59
2193.99,2204.41,2204.41,2189.12,25349957927.0,0,2023-01-30 00:00:00,2023-01-30 23:59:59
2203.57,2225.6,2225.6,2202.76,33469998785.2,0,2023-01-31 00:00:00,2023-01-31 23:59:59
2232.02,2230.15,2247.12,2224.95,39359470583.55,0,2023-02-01 00:00:00,2023-02-01 23:59:59
2243.04,2243.54,2249.56,2228.56,32836232460.1,0,2023-02-02 00:00:00,2023-02-02 23:59:59
2239.1,2248.3,2253.7,2216.63,43326732161.75,0,2023-02-03 00:00:00,2023-02-03 23:59:59
2245.93,2272.37,2276.5,2243.77,41978396753.15,0,2023-02-06 00:00:00,2023-02-06 23:59:59
2281.69,2267.69,2290.51,2262.3,41070831270.9,0,2023-02-07 00:00:00,2023-02-07 23:59:59
2273.59,2251.97,2283.49,2244.52,36352162036.05,0,2023-02-08 00:00:00,2023-02-08 23:59:59
2258.97,2262.45,2269.96,2241.02,36719582060.2,0,2023-02-09 00:00:00,2023-02-09 23:59:59
2253.51,2261.58,2264.39,2249.62,20751973737.05,0,2023-02-10 00:00:00,2023-02-10 23:59:59
2262.65,2264.27,2271.0,2261.37,18435819331.55,0,2023-02-13 00:00:00,2023-02-13 23:59:59
2256.59,2232.23,2256.96,2225.94,31061645096.45,0,2023-02-14 00:00:00,2023-02-14 23:59:59
2216.69,2166.46,2216.69,2164.7,42803893942.3,0,2023-02-15 00:00:00,2023-02-15 23:59:59
2169.39,2153.96,2186.64,2150.17,33206834832.25,0,2023-02-16 00:00:00,2023-02-16 23:59:59
2157.5,2168.88,2180.96,2147.31,23626925959.6,0,2023-02-17 00:00:00,2023-02-17 23:59:59
2172.53,2183.57,2186.39,2140.78,30085172953.75,0,2023-02-20 00:00:00,2023-02-20 23:59:59
2184.6,2212.42,2227.82,2184.51,49606379523.4,0,2023-02-21 00:00:00,2023-02-21 23:59:59
2215.43,2212.4,2215.58,2194.99,20589616471.8,0,2023-02-22 00:00:00,2023-02-22 23:59:59
2209.1,2208.03,2223.23,2202.25,18979268125.35,0,2023-02-24 00:00:00,2023-02-24 23:59:59
2194.39,2241.1,2241.1,2188.95,36711171319.1,0,2023-02-27 00:00:00,2023-02-27 23:59:59
2246.26,2253.16,2258.68,2239.59,37023209047.6,0,2023-02-28 00:00:00,2023-02-28 23:59:59
2258.89,2279.65,2287.48,2255.45,40016502886.95,0,2023-03-01 00:00:00,2023-03-01 23:59:59
2284.87,2254.3,2286.27,2235.43,50749873558.3,0,2023-03-02 00:00:00,2023-03-02 23:59:59
2250.12,2272.2,2273.52,2249.81,26705003484.35,0,2023-03-03 00:00:00,2023-03-03 23:59:59
2286.2,2294.12,2297.86,2283.4,33614803020.6,0,2023-03-06 00:00:00,2023-03-06 23:59:59
2294.32,2295.6,2298.93,2281.46,24580193073.35,0,2023-03-07 00:00:00,2023-03-07 23:59:59
2295.03,2290.14,2302.1,2278.95,28764398015.85,0,2023-03-09 00:00:00,2023-03-09 23:59:59
2272.61,2276.25,2283.18,2266.33,28442547978.2,0,2023-03-10 00:00:00,2023-03-10 23:59:59
2279.13,2269.47,2289.7,2250.14,40590100977.2,0,2023-03-13 00:00:00,2023-03-13 23:59:59
2266.78,2290.32,2290.32,2261.65,37222691640.25,0,2023-03-14 00:00:00,2023-03-14 23:59:59
2287.16,2262.07,2295.06,2257.0,40845107270.85,0,2023-03-15 00:00:00,2023-03-15 23:59:59
2262.61,2258.22,2269.01,2236.77,35593046390.65,0,2023-03-16 00:00:00,2023-03-16 23:59:59
2284.78,2322.78,2322.78,2275.48,108087768758.2,0,2023-03-17 00:00:00,2023-03-17 23:59:59
2337.83,2397.16,2397.16,2332.8,84163284261.5,0,2023-03-20 00:00:00,2023-03-20 23:59:59
2417.43,2398.15,2431.23,2383.08,74773280093.7,0,2023-03-21 00:00:00,2023-03-21 23:59:59
2387.81,2393.88,2398.76,2374.46,34290916792.5,0,2023-03-22 00:00:00,2023-03-22 23:59:59
2386.7,2388.35,2396.5,2379.88,23579664336.45,0,2023-03-23 00:00:00,2023-03-23 23:59:59
2386.53,2391.53,2394.03,2384.29,20820009237.3,0,2023-03-24 00:00:00,2023-03-24 23:59:59
2400.84,2440.68,2440.68,2400.84,47214135240.05,0,2023-03-27 00:00:00,2023-03-27 23:59:59
2453.26,2442.19,2458.37,2421.39,41688810661.95,0,2023-03-28 00:00:00,2023-03-28 23:59:59
2449.96,2460.87,2468.48,2437.52,45339433902.8,0,2023-03-29 00:00:00,2023-03-29 23:59:59
2458.06,2465.93,2467.97,2450.46,29588518563.9,0,2023-03-30 00:00:00,2023-03-30 23:59:59
2470.12,2450.67,2472.53,2424.45,49152762590.45,0,2023-03-31 00:00:00,2023-03-31 23:59:59
2474.37,2473.32,2482.54,2463.0,48168034560.8,0,2023-04-03 00:00:00,2023-04-03 23:59:59
2483.47,2480.45,2511.49,2479.24,61460346597.1,0,2023-04-04 00:00:00,2023-04-04 23:59:59
2489.18,2500.8,2500.8,2465.77,46265010869.7,0,2023-04-05 00:00:00,2023-04-05 23:59:59
2504.06,2498.3,2521.81,2498.3,43371731593.55,0,2023-04-06 00:00:00,2023-04-06 23:59:59
2504.04,2508.39,2511.95,2491.37,28962641538.35,0,2023-04-07 00:00:00,2023-04-07 23:59:59
2523.2,2547.35,2548.41,2523.2,51000274967.7,0,2023-04-10 00:00:00,2023-04-10 23:59:59
2560.04,2533.69,2577.51,2515.83,82411991848.0,0,2023-04-11 00:00:00,2023-04-11 23:59:59
2538.62,2538.47,2554.77,2520.65,39292795917.3,0,2023-04-12 00:00:00,2023-04-12 23:59:59
2546.98,2544.28,2557.58,2528.06,31298785613.0,0,2023-04-13 00:00:00,2023-04-13 23:59:59
2546.93,2554.85,2554.85,2532.39,33758690384.55,0,2023-04-14 00:00:00,2023-04-14 23:59:59
2572.54,2596.11,2596.45,2572.54,48786704257.95,0,2023-04-17 00:00:00,2023-04-17 23:59:59
2601.34,2615.62,2615.62,2586.05,55299787219.85,0,2023-04-18 00:00:00,2023-04-18 23:59:59
2617.91,2606.55,2629.01,2584.96,75124691893.3,0,2023-04-19 00:00:00,2023-04-19 23:59:59
2600.71,2637.85,2640.78,2565.61,75946446478.25,0,2023-04-20 00:00:00,2023-04-20 23:59:59
2640.99,2639.95,2648.21,2626.94,57200329084.4,0,2023-04-21 00:00:00,2023-04-21 23:59:59
2636.76,2635.43,2651.8,2609.4,39712592822.4,0,2023-04-24 00:00:00,2023-04-24 23:59:59
2639.67,2626.86,2642.12,2619.67,32157208711.0,0,2023-04-25 00:00:00,2023-04-25 23:59:59
2625.62,2620.33,2631.13,2614.98,31901400374.2,0,2023-04-26 00:00:00,2023-04-26 23:59:59
2620.65,2646.18,2646.18,2617.04,58564323144.4,0,2023-04-27 00:00:00,2023-04-27 23:59:59
2653.93,2634.94,2657.9,2608.02,51130716753.3,0,2023-04-28 00:00:00,2023-04-28 23:59:59
2623.29,2580.51,2635.53,2560.09,63970845685.6,0,2023-05-02 00:00:00,2023-05-02 23:59:59
2585.4,2532.42,2586.17,2532.42,54409373737.95,0,2023-05-03 00:00:00,2023-05-03 23:59:59
2524.97,2524.51,2547.2,2524.36,38680596602.8,0,2023-05-04 00:00:00,2023-05-04 23:59:59
2544.47,2538.24,2555.39,2529.08,35453025873.55,0,2023-05-05 00:00:00,2023-05-05 23:59:59
2528.74,2527.59,2538.23,2513.84,20351667294.1,0,2023-05-08 00:00:00,2023-05-08 23:59:59
