C,penalty,solver,train_gini,val_gini,fit_seconds
0.05,l2,lbfgs,0.8828516097222223,0.8785769489554087,2.035059928894043
0.05,l2,liblinear,0.8828944708333333,0.8785173988081465,2.6454198360443115
0.2,l2,lbfgs,0.8828838958333332,0.8783733446307194,2.232759952545166
0.2,l2,liblinear,0.8829558763888887,0.8783537159436965,3.4031779766082764
1.0,l2,lbfgs,0.8828968374999999,0.8782851437290127,2.3176441192626953
1.0,l2,liblinear,0.8829848347222222,0.8782201558288885,4.210301876068115
3.0,l2,liblinear,0.8829924752777778,0.8781855520607307,6.122798204421997
3.0,l2,lbfgs,0.8828871213888889,0.8781473026969904,2.6369409561157227
