model,N,MAE,RMSE,mean_error,median_abs_error
Black-76 + hv_63d,18077,308.99696317724266,435.4530983200243,-292.99510051529666,192.98550152785788
Black-76 + hv_21d,18926,326.2886714745455,452.5915191750266,-309.5816800185918,216.69454427880373
Black-76 + garch_vol,19291,326.79007136687403,455.0434863540561,-309.2476681739895,215.5821249029315
