model,sample,N,MAE,RMSE,mean_error,median_abs_error,mean_abs_pct_error
hv_21d,full_sample,18926,326.2886714745455,452.5915191750266,-309.5816800185918,216.69454427880373,4.604059149987541
hv_21d,exclude_deep_tails,9952,294.3994827610546,406.46490881943566,-270.7271899476931,180.55520900146837,5.541986971390873
hv_21d,short_dte_le_91,2779,43.87209293850951,61.53670930508295,-40.56852348056806,30.378971797505816,0.6585613268610071
hv_63d,full_sample,18077,308.99696317724266,435.4530983200243,-292.99510051529666,192.98550152785788,4.001794557425088
hv_63d,exclude_deep_tails,9605,269.08038229890275,378.48722003664534,-245.67377424770405,150.0670640707989,4.8481684230500175
hv_63d,short_dte_le_91,2779,43.09472779670425,59.689981039427444,-38.65362405252184,31.421957247542522,0.6621367656334127
garch,full_sample,19291,326.79007136687403,455.0434863540561,-309.2476681739895,215.5821249029315,4.436261269672701
garch,exclude_deep_tails,10106,297.85911319543413,412.2534882253241,-272.71708322431545,181.0948684950505,5.376299979558742
garch,short_dte_le_91,2779,41.50117871783747,58.729174008752054,-37.45872432336582,27.697203539812584,0.6620042884166631
