sigma_variant,N,MAE,RMSE,mean_error,median_abs_error,mean_pct_error,table_name,slice_value,N_hv_21d,MAE_hv_21d,RMSE_hv_21d,mean_error_hv_21d,median_abs_error_hv_21d,mean_pct_error_hv_21d,N_hv_63d,MAE_hv_63d,RMSE_hv_63d,mean_error_hv_63d,median_abs_error_hv_63d,mean_pct_error_hv_63d
hv_21d,18926.0,326.2886714745455,452.5915191750266,-309.5816800185918,216.69454427880373,3.4180210847774,overall,,,,,,,,,,,,,
hv_63d,18077.0,308.99696317724266,435.4530983200243,-292.99510051529666,192.98550152785788,2.875945843418632,overall,,,,,,,,,,,,,
,,,,,,,vol_regime,NaN,0.0,,,,,,0.0,,,,,
,,,,,,,vol_regime,low_vol,7224.0,233.97402652513117,378.3517531271879,-232.13790654622994,99.99865087860454,-0.7015905506406606,6375.0,170.85601688099962,291.767104600048,-165.91324076042633,82.84184884055644,-0.6024876122479176
,,,,,,,vol_regime,mid_vol,5878.0,371.0158776390357,487.81633787671996,-361.71957116753475,359.83766565311896,0.7837273917942136,5878.0,357.6170605008703,472.71545931385816,-338.73624484089754,330.735397216816,2.041997843766343
,,,,,,,vol_regime,high_vol,5824.0,395.65242100746013,497.9200489132285,-353.0204326612524,380.58739822409353,11.186642784917384,5824.0,411.13631767076345,519.4634324113842,-385.9347312830536,416.43281253397754,7.525149075188965
,,,,,,,trend_regime,down,10057.0,324.5032469018732,455.3116324138438,-304.8111120074062,214.437239375122,6.163712474214698,9996.0,324.1485256206795,456.6883949856494,-306.7334504876396,219.20467359150953,4.141379727462894
,,,,,,,trend_regime,up,8869.0,328.31325315538487,449.4871318733906,-314.99126424325,218.3770765984744,0.3045451231615618,8081.0,290.25484980209166,407.65798733901875,-276.0010965153536,174.14288786148376,1.3106349778195188
,,,,,,,regime_label,NaN,0.0,,,,,,0.0,,,,,
,,,,,,,regime_label,low_vol_up,4360.0,282.004118305628,428.9031462610403,-281.03786205573994,136.60092188904054,-0.7282164083232581,3572.0,194.31373508242183,319.12429623663974,-191.3378504571005,108.76879220062517,-0.6142906479201543
,,,,,,,regime_label,low_vol_down,2864.0,160.85559071403944,284.65128130053307,-157.69523684599824,58.5673311875564,-0.6610567728836338,2803.0,140.9626992158266,252.64753364883873,-133.51341705849262,56.31825322705485,-0.5874464265821205
,,,,,,,regime_label,mid_vol_down,3674.0,403.2803469481617,527.8797437384244,-393.571962489059,415.3944957054214,-0.5022423592695225,3674.0,395.58745030093763,518.0849219532475,-378.34913038688103,377.4689957563005,-0.4265721298331785
,,,,,,,regime_label,high_vol_down,3519.0,375.44380437612494,485.3810704821631,-331.8734881917427,327.8581776051791,18.67773838552775,3519.0,395.47653418491205,511.23922132551183,-369.93883433307474,355.5043414369326,12.67720093618524
,,,,,,,regime_label,high_vol_up,2305.0,426.50453464115583,516.47626258162,-385.3050736973498,431.46608359023287,-0.24987149644829437,2305.0,435.0438135869074,531.7739183608348,-410.35536528174146,475.8545784730877,-0.340391271381926
,,,,,,,regime_label,mid_vol_up,2204.0,317.2320027562186,412.4706821651453,-308.62261757620985,311.8092397606041,2.927399290799733,2204.0,294.32159220438785,385.3909360013635,-272.70278681188523,290.2875201469398,6.157027826980789
,,,,,,,moneyness_bucket,deep_ITM,4906.0,346.26233248062545,542.4452405175643,-333.26919455950025,80.63041545129721,4.620416455168722,4404.0,332.6027646340805,535.9641160198474,-321.1421194299306,71.22948105418398,3.837510897876615
,,,,,,,moneyness_bucket,ATM,3543.0,266.998961973741,382.0070185612873,-240.26496460858374,146.01839220224954,5.882254968913307,3427.0,242.06260179839808,354.958094116435,-214.75572550240213,119.93591839341624,5.292135104023361
,,,,,,,moneyness_bucket,OTM,3216.0,304.1783839999323,388.8989934527338,-284.2620960815276,262.792614060762,0.0749448545852592,3214.0,300.11065853484666,387.88015945502934,-281.6998160844067,246.13378867233573,0.01375122704393659
,,,,,,,moneyness_bucket,ITM,3193.0,314.9541644914718,447.9775292424369,-290.8961239439513,152.07062583731425,7.320231618951466,2964.0,266.67101183766965,394.20811004366504,-242.35678861578347,114.51750432038065,6.3444283381521975
,,,,,,,moneyness_bucket,deep_OTM,4068.0,380.21453803817167,440.4014367506122,-376.06863647087465,362.70673326457666,-0.5982418006584879,4068.0,377.68890263656937,439.7658324716828,-374.25416332261705,362.5378925413345,-0.46636037912005457
,,,,,,,dte_bucket,91+,16193.0,374.1083004878814,488.6699739040358,-355.1485091723895,321.3216763623077,4.094625685807386,15344.0,356.4793316383462,471.99525506149223,-338.4278569648643,300.7355177812837,3.490521900051194
,,,,,,,dte_bucket,31-90,2104.0,51.20956710492033,67.45286189128926,-49.23690911286026,40.94381895736932,-0.6109696534350247,2104.0,50.40073140986084,65.61716757998569,-46.80064029622803,42.319263939126756,-0.5779403445568738
,,,,,,,dte_bucket,8-30,503.0,16.55017352849549,24.999929689390843,-9.971338861585645,7.9900589250493725,-0.5358543899294321,503.0,16.945227064662948,25.43140842950192,-10.893252608393722,8.30254894584504,-0.5722172017041208
,,,,,,,dte_bucket,0-7,126.0,10.58746074126087,16.80320156228059,3.071216011669749,3.469181545371716,-0.47453786365157985,126.0,10.735322193315547,17.04665388258446,2.4798293583029327,3.4688384139268074,-0.526057821445158
