N,MAE,RMSE,mean_error,median_abs_error,slice_type,slice_value
19291,326.79007136687403,455.0434863540561,-309.2476681739895,215.5821249029315,overall,all
7224,225.90052595696096,369.1323389583163,-223.19767929553564,94.47834735601757,vol_regime,low_vol
5878,360.4395550504376,475.54292730370753,-346.75302373106786,346.9589812163068,vol_regime,mid_vol
5824,396.82255359547673,499.4140373566417,-355.88235706104246,384.33617381179124,vol_regime,high_vol
365,664.2290698595973,790.8784419097519,-664.2290698595973,907.5722895830454,vol_regime,
126,10.63034133250146,16.82843695426933,3.403414968291524,3.424624803347271,DTE_bucket,0-7
503,16.05938988656393,24.06204302513377,-8.608519050789269,7.9186216359612835,DTE_bucket,8-30
2104,48.369260798218015,64.4185515796917,-45.65160897410104,39.295239558957206,DTE_bucket,31-90
16558,374.01383294468417,490.6065771089127,-354.2544103555006,320.13893884865877,DTE_bucket,91+
4068,373.69198300706427,433.6428333110404,-369.52655486001004,355.1411604454917,moneyness_bucket,deep_OTM
3217,298.95221263310253,382.9114093139297,-277.5560483413617,250.1495413349517,moneyness_bucket,OTM
3653,281.3565170449367,404.2603819043835,-253.23261911503062,150.01687828151887,moneyness_bucket,ATM
3236,315.4015986239842,447.7892822184728,-289.901816416429,154.09649900837348,moneyness_bucket,ITM
5117,346.6414074482261,543.5799273813183,-333.4734998063275,76.6164828897776,moneyness_bucket,deep_ITM
