SECID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,SETTLEPRICE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,option_type,strike,expiry_date
IM2450CE6,2026-04-01,0.0,0.0,0.0,0.0,368.49,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-02,0.0,0.0,0.0,0.0,362.71,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-03,0.0,0.0,0.0,0.0,350.0,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-06,0.0,0.0,0.0,0.0,362.65,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-07,0.0,0.0,0.0,0.0,375.63,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-08,0.0,0.0,0.0,0.0,346.03,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-09,0.0,0.0,0.0,0.0,319.65,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-10,0.0,0.0,0.0,0.0,311.31,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-13,0.0,0.0,0.0,0.0,305.4,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-14,0.0,0.0,0.0,0.0,299.1,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-15,0.0,0.0,0.0,0.0,322.11,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-16,0.0,0.0,0.0,0.0,315.56,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-17,0.0,0.0,0.0,0.0,302.1,0.0,0,0,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-20,310.47,311.02,310.47,311.02,324.15,147000.0,60,120,2,C,2450.0,2026-05-20
IM2450CE6,2026-04-21,0.0,0.0,0.0,0.0,326.15,0.0,0,120,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-22,0.0,0.0,0.0,0.0,344.06,0.0,0,120,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-23,0.0,0.0,0.0,0.0,349.54,0.0,0,120,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-24,0.0,0.0,0.0,0.0,314.39,0.0,0,120,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-27,0.0,0.0,0.0,0.0,306.1,0.0,0,120,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-28,285.51,285.51,262.7,262.7,269.82,147000.0,60,120,2,C,2450.0,2026-05-20
IM2450CE6,2026-04-29,0.0,0.0,0.0,0.0,213.18,0.0,0,120,0,C,2450.0,2026-05-20
IM2450CE6,2026-04-30,0.0,0.0,0.0,0.0,249.96,0.0,0,120,0,C,2450.0,2026-05-20
IM2450CE6,2026-05-04,0.0,0.0,0.0,0.0,180.33,0.0,0,120,0,C,2450.0,2026-05-20
IM2450CE6,2026-05-05,0.0,0.0,0.0,0.0,207.4,0.0,0,120,0,C,2450.0,2026-05-20
