secid,shortname,regnumber,name,isin,is_traded,emitent_id,emitent_title,emitent_inn,emitent_okpo,type,group,primary_boardid,marketprice_boardid,_query,_strategy,option_type,strike,expiry_date
IM2850CP6D,IMOEXP220426PE2850,,Нед. прем. европ. Put 2850 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2850.0,2026-04-22
IM2900CP6E,IMOEXP290426PE2900,,Нед. прем. европ. Put 2900 с исп. 29 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2900.0,2026-04-29
IM2600CD6D,IMOEXP220426CE2600,,Нед. прем. европ. Call 2600 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2600.0,2026-04-22
IM2600CE6D,IMOEXP270526CE2600,,Нед. прем. европ. Call 2600 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2600.0,2026-05-27
IM2700CD6D,IMOEXP220426CE2700,,Нед. прем. европ. Call 2700 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2700.0,2026-04-22
IM2900CP6D,IMOEXP220426PE2900,,Нед. прем. европ. Put 2900 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2900.0,2026-04-22
IM2550CE6A,IMOEXP060526CE2550,,Нед. прем. европ. Call 2550 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2550.0,2026-05-06
IM2550CE6D,IMOEXP270526CE2550,,Нед. прем. европ. Call 2550 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2550.0,2026-05-27
IM2750CF6,IMOEXP170626CE2750,,Прем. европ. Call 2750 с исп. 17 июня на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2750.0,2026-06-17
IM2750CQ6A,IMOEXP060526PE2750,,Нед. прем. европ. Put 2750 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2750.0,2026-05-06
IM2900CE6,IMOEXP200526CE2900,,Прем. европ. Call 2900 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2900.0,2026-05-20
IM3000CQ6,IMOEXP200526PE3000,,Прем. европ. Put 3000 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,3000.0,2026-05-20
IM2500CQ6,IMOEXP200526PE2500,,Прем. европ. Put 2500 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2500.0,2026-05-20
IM2550CQ6,IMOEXP200526PE2550,,Прем. европ. Put 2550 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2550.0,2026-05-20
IM2650CD6,IMOEXP150426CE2650,,Прем. европ. Call 2650 с исп. 15 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2650.0,2026-04-15
IM2650CE6D,IMOEXP270526CE2650,,Нед. прем. европ. Call 2650 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2650.0,2026-05-27
IM2700CD6,IMOEXP150426CE2700,,Прем. европ. Call 2700 с исп. 15 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2700.0,2026-04-15
IM2800CP6E,IMOEXP290426PE2800,,Нед. прем. европ. Put 2800 с исп. 29 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2800.0,2026-04-29
IM2950CQ6,IMOEXP200526PE2950,,Прем. европ. Put 2950 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2950.0,2026-05-20
IM2450CE6,IMOEXP200526CE2450,,Прем. европ. Call 2450 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2450.0,2026-05-20
IM2500CE6D,IMOEXP270526CE2500,,Нед. прем. европ. Call 2500 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2500.0,2026-05-27
IM2650CQ6A,IMOEXP060526PE2650,,Нед. прем. европ. Put 2650 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2650.0,2026-05-06
IM2700CP6E,IMOEXP290426PE2700,,Нед. прем. европ. Put 2700 с исп. 29 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2700.0,2026-04-29
IM2750CP6,IMOEXP150426PE2750,,Прем. европ. Put 2750 с исп. 15 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2750.0,2026-04-15
