spec,instruments,beta1,SE,p,F_first_stage,wu_hausman_p,sargan_p,n
(baseline) mining,ln_emp_mining_pc,-1.6006304547672698,0.38953809881265217,3.9729478617189784e-05,13.541769285781795,0.2464404237270671,,85
(a) energy only,ln_emp_energy_pc,-1.9940413260569585,0.4576674540530176,1.3187802116343406e-05,23.153835874294387,0.0018329140166092328,,85
(b) fuel emissions,ln_emissions_fuel_pc,-2.0618858914726843,0.3177054621119882,8.587686117778048e-11,60.960380397904984,1.2531731208298424e-09,,85
(c) mining + energy,"ln_emp_mining_pc, ln_emp_energy_pc",-1.8583723783222013,0.34183625189283867,5.4355537404404686e-08,17.979957456498603,0.0012269676102142357,0.40098556521394446,85
(d) mining + energy + fuel,"ln_emp_mining_pc, ln_emp_energy_pc, ln_emissions_fuel_pc",-1.9790390963828486,0.3026737209777579,6.212941272565331e-11,29.48987435699766,2.0581314430501152e-10,0.5739403115232523,85
